ZDB-GENE-980526-340	ENSDARG00000017821
ZDB-GENE-020220-1	ENSDARG00000055543
ZDB-GENE-040121-1	ENSDARG00000070573
ZDB-GENE-070117-392	Not found
ZDB-GENE-050522-492	ENSDARG00000019362
ZDB-GENE-020507-3	ENSDARG00000027397
ZDB-GENE-000626-1	ENSDARG00000020610
ZDB-GENE-030131-3831	ENSDARG00000002720
ZDB-GENE-030131-6223	ENSDARG00000056801
ZDB-GENE-990415-131	ENSDARG00000052866
ZDB-GENE-031118-121	ENSDARG00000026294
ZDB-GENE-990603-9	ENSDARG00000037238
ZDB-GENE-030131-9572	ENSDARG00000069763
ZDB-GENE-021226-3	ENSDARG00000036279
ZDB-GENE-990415-75	ENSDARG00000021201
ZDB-GENE-990415-214	ENSDARG00000035966
ZDB-GENE-060118-1	ENSDARG00000056043
ZDB-GENE-060119-1	ENSDARG00000099390
ZDB-GENE-070117-706	Not found
ZDB-GENE-030131-966	ENSDARG00000041908
ZDB-GENE-050105-3	ENSDARG00000018534
ZDB-GENE-000209-4	ENSDARG00000005645
ZDB-GENE-040426-2364	ENSDARG00000062262
ZDB-GENE-070117-1997	Not found
ZDB-GENE-070117-2337	Not found
ZDB-GENE-030131-215	ENSDARG00000021124
ZDB-GENE-010611-1	Not found
ZDB-GENE-040426-1236	ENSDARG00000007892
ZDB-GENE-040426-57	ENSDARG00000058203
ZDB-GENE-040426-2857	ENSDARG00000020442
ZDB-GENE-991026-3	ENSDARG00000039077
ZDB-GENE-020104-1	ENSDARG00000006615
ZDB-GENE-040616-4	ENSDARG00000011696
ZDB-GENE-030131-4744	Not found
ZDB-GENE-070510-3	ENSDARG00000057125
ZDB-GENE-031002-2	ENSDARG00000056228
ZDB-GENE-020712-1	ENSDARG00000006272
ZDB-GENE-040426-757	ENSDARG00000016139
ZDB-GENE-021213-1	ENSDARG00000105117
ZDB-GENE-990415-171	ENSDARG00000018693
ZDB-GENE-040426-764	ENSDARG00000020077
ZDB-GENE-130131-1	ENSDARG00000088595
ZDB-GENE-070117-2442	Not found
ZDB-GENE-040426-1943	ENSDARG00000079110
ZDB-GENE-990415-256	ENSDARG00000057096
ZDB-GENE-980526-485	ENSDARG00000044774
ZDB-GENE-060825-162	ENSDARG00000044769
ZDB-GENE-980526-474	ENSDARG00000041430
ZDB-GENE-070117-2026	Not found
ZDB-GENE-980526-178	ENSDARG00000101540
ZDB-GENE-070117-2324	Not found
ZDB-GENE-070129-1	ENSDARG00000043443
ZDB-GENE-030828-10	ENSDARG00000002909
ZDB-GENE-080708-1	ENSDARG00000071336
ZDB-GENE-030826-1	ENSDARG00000075621
ZDB-GENE-040827-2	ENSDARG00000053318
ZDB-GENE-030505-1	ENSDARG00000104566
ZDB-GENE-120419-2	Not found
ZDB-GENE-030131-1249	ENSDARG00000019260
ZDB-GENE-990415-9	ENSDARG00000014986
ZDB-GENE-980526-87	ENSDARG00000102464
ZDB-GENE-070117-196	Not found
ZDB-GENE-991207-1	ENSDARG00000015002
ZDB-GENE-980526-170	ENSDARG00000021442
ZDB-GENE-020419-31	ENSDARG00000014898
ZDB-GENE-990415-230	ENSDARG00000097478
ZDB-GENE-020419-35	ENSDARG00000003527
ZDB-GENE-040824-3	ENSDARG00000042458
ZDB-GENE-130220-1	ENSDARG00000100809
ZDB-GENE-031112-7	ENSDARG00000058868
ZDB-GENE-081119-1	ENSDARG00000069473
ZDB-GENE-011115-1	ENSDARG00000067626
ZDB-GENE-060526-68	ENSDARG00000054619
ZDB-GENE-070117-1695	Not found
ZDB-GENE-990714-27	ENSDARG00000036194
ZDB-GENE-011026-1	ENSDARG00000100591
ZDB-GENE-101223-1	ENSDARG00000076995
ZDB-GENE-070117-1149	Not found
ZDB-GENE-061110-61	ENSDARG00000078106
ZDB-GENE-070117-1040	Not found
ZDB-GENE-041124-2	ENSDARG00000026811
ZDB-GENE-001212-1	ENSDARG00000002791
ZDB-GENE-080108-5	ENSDARG00000099093
ZDB-GENE-040426-1664	ENSDARG00000100397
ZDB-GENE-011212-6	ENSDARG00000059279
ZDB-GENE-050417-71	ENSDARG00000087538
ZDB-GENE-050306-25	ENSDARG00000045611
ZDB-GENE-081105-30	ENSDARG00000069926
ZDB-GENE-031002-35	ENSDARG00000037618
ZDB-GENE-031118-9	ENSDARG00000037397
ZDB-GENE-020123-2	ENSDARG00000036548
ZDB-GENE-000501-1	ENSDARG00000005315
ZDB-GENE-050706-185	ENSDARG00000009735
ZDB-GENE-020102-1	ENSDARG00000057633
ZDB-GENE-030131-8434	ENSDARG00000004954
ZDB-GENE-030131-1949	ENSDARG00000063719
ZDB-GENE-040702-3	ENSDARG00000008186
ZDB-GENE-070117-2173	Not found
ZDB-GENE-030131-4013	ENSDARG00000040946
ZDB-GENE-980526-204	ENSDARG00000076857
ZDB-GENE-100422-15	Not found
ZDB-GENE-040825-4	ENSDARG00000098696
ZDB-GENE-060418-2	ENSDARG00000002916
ZDB-GENE-070117-1706	Not found
ZDB-GENE-070117-2390	Not found
ZDB-GENE-030131-4700	ENSDARG00000070214
ZDB-GENE-070117-2014	Not found
ZDB-GENE-060429-1	ENSDARG00000027689
ZDB-GENE-040426-1503	ENSDARG00000079848
ZDB-GENE-040426-1279	ENSDARG00000031388
ZDB-GENE-050622-14	ENSDARG00000053868
ZDB-GENE-070117-2108	Not found
ZDB-GENE-030313-1	ENSDARG00000041133
ZDB-GENE-990415-89	ENSDARG00000041619
ZDB-GENE-980526-330	ENSDARG00000036292
ZDB-GENE-060503-425	ENSDARG00000071173
ZDB-GENE-050114-2	ENSDARG00000068365
ZDB-GENE-070117-2474	Not found
ZDB-GENE-980526-373	ENSDARG00000053479
ZDB-GENE-060503-723	ENSDARG00000100584
ZDB-GENE-030131-4041	ENSDARG00000038805
ZDB-GENE-090908-2	ENSDARG00000077943
ZDB-GENE-070117-2447	ENSDARG00000005867
ZDB-GENE-030721-1	ENSDARG00000055100
ZDB-GENE-100917-2	ENSDARG00000021987
ZDB-GENE-040727-3	ENSDARG00000021899
ZDB-GENE-070117-1033	Not found
ZDB-GENE-070117-53	Not found
ZDB-GENE-030131-977	ENSDARG00000045399
ZDB-GENE-991207-22	ENSDARG00000070787
ZDB-GENE-080925-5	Not found
ZDB-GENE-030131-6327	ENSDARG00000037393
ZDB-GENE-990714-16	ENSDARG00000021833
ZDB-GENE-010426-1	ENSDARG00000008487
ZDB-GENE-980528-2059	ENSDARG00000019995
ZDB-GENE-040426-2536	ENSDARG00000070686
